lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngL8,lngL9,lngL10,lngL11,lngL12,intSum
1118,274,20211116,20211116274,,,,,,,,,,,,,0
1119,275,20211117,20211117275,,,,,,,,,,,,,0
1120,276,20211118,20211118276,,,,,,,,,,,,,0
1121,277,20211119,20211119277,,,,,,,,,,,,,0
1122,278,20211120,20211120278,,,,,,,,,,,,,0
1123,279,20211122,20211122279,,,,,,,,,,,,,0
1124,280,20211123,20211123280,,,,,,,,,,,,,0
1125,281,20211124,20211124281,,,,,,,,,,,,,0
1126,282,20211125,20211125282,,,,,,,,,,,,,0
1127,283,20211126,20211126283,,,,,,,,,,,,,0
1128,284,20211127,20211127284,,,,,,,,,,,,,0
1129,285,20211129,20211129285,,,,,,,,,,,,,0
1130,286,20211130,20211130286,,,,,,,,,,,,,0
1131,287,20211201,20211201287,,,,,,,,,,,,,0
1132,288,20211202,20211202288,,,,,,,,,,,,,0
1133,289,20211203,20211203289,,,,,,,,,,,,,0
1134,290,20211204,20211204290,,,,,,,,,,,,,0
1135,291,20211206,20211206291,,,,,,,,,,,,,0
1136,292,20211207,20211207292,,,,,,,,,,,,,0
1137,293,20211208,20211208293,,,,,,,,,,,,,0
1138,294,20211209,20211209294,,,,,,,,,,,,,0
1139,295,20211210,20211210295,,,,,,,,,,,,,0
1140,296,20211211,20211211296,,,,,,,,,,,,,0
1141,297,20211213,20211213297,,,,,,,,,,,,,0
1142,298,20211214,20211214298,,,,,,,,,,,,,0
1143,299,20211215,20211215299,,,,,,,,,,,,,0
1144,300,20211216,20211216300,,,,,,,,,,,,,0
1145,301,20211217,20211217301,,,,,,,,,,,,,0
1146,302,20211218,20211218302,,,,,,,,,,,,,0
1147,303,20211220,20211220303,,,,,,,,,,,,,0
1148,304,20211221,20211221304,,,,,,,,,,,,,0
1149,305,20211222,20211222305,,,,,,,,,,,,,0
1150,306,20211223,20211223306,,,,,,,,,,,,,0
1151,307,20211224,20211224307,,,,,,,,,,,,,0
1152,308,20211225,20211225308,,,,,,,,,,,,,0
1153,309,20211227,20211227309,,,,,,,,,,,,,0
1154,310,20211228,20211228310,,,,,,,,,,,,,0
1155,311,20211229,20211229311,,,,,,,,,,,,,0
1156,312,20211230,20211230312,,,,,,,,,,,,,0
1157,313,20211231,20211231313,,,,,,,,,,,,,0
1158,1,20220101,20220101001,,,,,,,,,,,,,0
1159,2,20220103,20220103002,,,,,,,,,,,,,0
1160,3,20220104,20220104003,,,,,,,,,,,,,0
1161,4,20220105,20220105004,,,,,,,,,,,,,0
1162,5,20220106,20220106005,,,,,,,,,,,,,0
1163,6,20220107,20220107006,,,,,,,,,,,,,0
1164,7,20220108,20220108007,,,,,,,,,,,,,0
1165,8,20220110,20220110008,,,,,,,,,,,,,0
1166,9,20220111,20220111009,,,,,,,,,,,,,0
1167,10,20220112,20220112010,,,,,,,,,,,,,0
1168,11,20220113,20220113011,,,,,,,,,,,,,0
1169,12,20220114,20220114012,,,,,,,,,,,,,0
1170,13,20220115,20220115013,,,,,,,,,,,,,0
1171,14,20220117,20220117014,,,,,,,,,,,,,0
1172,15,20220118,20220118015,,,,,,,,,,,,,0
1173,16,20220119,20220119016,,,,,,,,,,,,,0
1174,17,20220120,20220120017,,,,,,,,,,,,,0
1175,18,20220121,20220121018,,,,,,,,,,,,,0
1176,19,20220122,20220122019,,,,,,,,,,,,,0
1177,20,20220124,20220124020,,,,,,,,,,,,,0
1178,21,20220125,20220125021,,,,,,,,,,,,,0
1179,22,20220126,20220126022,,,,,,,,,,,,,0
1180,23,20220127,20220127023,,,,,,,,,,,,,0
1181,24,20220128,20220128024,,,,,,,,,,,,,0
1182,25,20220129,20220129025,,,,,,,,,,,,,0
1183,26,20220131,20220131026,,,,,,,,,,,,,0
1184,27,20220201,20220201027,,,,,,,,,,,,,0
1185,28,20220202,20220202028,,,,,,,,,,,,,0
1186,29,20220203,20220203029,,,,,,,,,,,,,0
1187,30,20220204,20220204030,,,,,,,,,,,,,0
1188,31,20220205,20220205031,,,,,,,,,,,,,0
1189,32,20220207,20220207032,,,,,,,,,,,,,0
1190,33,20220208,20220208033,,,,,,,,,,,,,0
1191,34,20220209,20220209034,,,,,,,,,,,,,0
1192,35,20220210,20220210035,,,,,,,,,,,,,0
1193,36,20220211,20220211036,,,,,,,,,,,,,0
1194,37,20220212,20220212037,,,,,,,,,,,,,0
1195,38,20220214,20220214038,,,,,,,,,,,,,0
1196,39,20220215,20220215039,,,,,,,,,,,,,0
1197,40,20220216,20220216040,,,,,,,,,,,,,0
1198,41,20220217,20220217041,,,,,,,,,,,,,0
1199,42,20220218,20220218042,,,,,,,,,,,,,0
1200,43,20220219,20220219043,,,,,,,,,,,,,0
1201,44,20220221,20220221044,,,,,,,,,,,,,0
1202,45,20220222,20220222045,,,,,,,,,,,,,0
1203,46,20220223,20220223046,,,,,,,,,,,,,0
1204,47,20220224,20220224047,,,,,,,,,,,,,0
1205,48,20220225,20220225048,,,,,,,,,,,,,0
1206,49,20220226,20220226049,,,,,,,,,,,,,0
1207,50,20220228,20220228050,,,,,,,,,,,,,0
1208,51,20220301,20220301051,,,,,,,,,,,,,0
1209,52,20220302,20220302052,,,,,,,,,,,,,0
1210,53,20220303,20220303053,,,,,,,,,,,,,0
1211,54,20220304,20220304054,,,,,,,,,,,,,0
1212,55,20220305,20220305055,,,,,,,,,,,,,0
1213,56,20220307,20220307056,,,,,,,,,,,,,0
1214,57,20220308,20220308057,,,,,,,,,,,,,0
1215,58,20220309,20220309058,,,,,,,,,,,,,0
1216,59,20220310,20220310059,,,,,,,,,,,,,0
1217,60,20220311,20220311060,,,,,,,,,,,,,0
1218,61,20220312,20220312061,,,,,,,,,,,,,0
1219,62,20220314,20220314062,,,,,,,,,,,,,0
1220,63,20220315,20220315063,,,,,,,,,,,,,0
1221,64,20220316,20220316064,,,,,,,,,,,,,0
1222,65,20220317,20220317065,,,,,,,,,,,,,0
1223,66,20220318,20220318066,,,,,,,,,,,,,0
1224,67,20220319,20220319067,,,,,,,,,,,,,0
1225,68,20220321,20220321068,,,,,,,,,,,,,0
1226,69,20220322,20220322069,,,,,,,,,,,,,0
1227,70,20220323,20220323070,,,,,,,,,,,,,0
1228,71,20220324,20220324071,,,,,,,,,,,,,0
1229,72,20220325,20220325072,,,,,,,,,,,,,0
1230,73,20220326,20220326073,,,,,,,,,,,,,0
1231,74,20220328,20220328074,,,,,,,,,,,,,0
1232,75,20220329,20220329075,,,,,,,,,,,,,0
1233,76,20220330,20220330076,,,,,,,,,,,,,0
1234,77,20220331,20220331077,,,,,,,,,,,,,0
1235,78,20220401,20220401078,,,,,,,,,,,,,0
1236,79,20220402,20220402079,,,,,,,,,,,,,0
1237,80,20220404,20220404080,,,,,,,,,,,,,0
1238,81,20220405,20220405081,,,,,,,,,,,,,0
1239,82,20220406,20220406082,,,,,,,,,,,,,0
1240,83,20220407,20220407083,,,,,,,,,,,,,0
1241,84,20220408,20220408084,,,,,,,,,,,,,0
1242,85,20220409,20220409085,,,,,,,,,,,,,0
